trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.01, 'e': 0.36787944117144233}",30,0,-65.2915650647501,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
102,False,"{'a': 0.01, 'e': 0.3642189795715233}",25,0,18.890372399723006,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.3605949401730783}",25,16,15.53720771919603,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.3570069605691474}",20,14,12.788238238914971,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.35345468195878016}",20,1,-1.8373596636965692,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.3499377491111553}",25,9,8.278298544455552,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.3464558103300574}",20,3,3.205077778875097,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.34300851741870664}",25,0,0.7865746917864505,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.3395955256449391}",20,0,-9.563715255583023,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.3362164937067333}",25,7,-9.073490195968251,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.33287108369807955}",20,12,5.46512510491248,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.32955896107518906}",30,16,4.206759722395116,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.32627979462303947}",20,4,4.0839106023602145,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,10,-44.65813677069404,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.31981902181630384}",20,0,-39.75496954091006,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
116,False,"{'a': 0.01, 'e': 0.31663676937905316}",25,6,15.810063142875325,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3134861808826053}",25,5,19.81456970129425,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.31036694126548503}",20,0,-3.5317825752900815,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.01, 'e': 0.30727873860113125}",20,15,9.435281909857167,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3042212640667041}",25,2,-28.948075427604238,"{0: 18, 1: 3, 2: 0, 3: 2, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.30119421191220214}",30,14,-9.04890208385154,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
